iter	Passed	Remaining
520	65343	1188854
521	65490	1189125
522	65626	1189174
523	65748	1188985
524	65868	1188771
525	65990	1188586
526	66113	1188404
527	66235	1188222
528	66356	1188013
529	66478	1187823
530	66598	1187604
531	66720	1187422
532	66840	1187204
533	66961	1187002
534	67082	1186795
535	67211	1186726
536	67351	1186871
537	67497	1187103
538	67629	1187084
539	67750	1186884
540	67870	1186660
541	67990	1186453
542	68113	1186285
543	68237	1186127
544	68357	1185906
545	68480	1185747
546	68602	1185562
547	68725	1185386
548	68847	1185206
549	68969	1185018
550	69090	1184824
551	69220	1184769
552	69380	1185233
553	69515	1185278
554	69643	1185186
555	69763	1184976
556	69883	1184749
557	70002	1184530
558	70123	1184328
559	70245	1184141
560	70367	1183960
561	70486	1183726
562	70606	1183498
563	70727	1183309
564	70847	1183097
565	70968	1182885
566	71089	1182688
567	71220	1182654
568	71374	1183003
569	71509	1183035
570	71638	1182968
571	71759	1182783
572	71881	1182600
573	72002	1182403
574	72123	1182194
575	72245	1182021
576	72367	1181835
577	72491	1181682
578	72612	1181492
579	72734	1181307
580	72854	1181100
581	72977	1180932
582	73098	1180739
583	73224	1180622
584	73377	1180946
585	73518	1181061
586	73648	1181012
587	73768	1180795
588	73890	1180609
589	74011	1180424
590	74134	1180249
591	74254	1180049
592	74374	1179831
593	74495	1179629
594	74614	1179410
595	74737	1179242
596	74858	1179056
597	74979	1178862
598	75101	1178672
599	75228	1178577
600	75381	1178883
601	75516	1178913
602	75645	1178843
603	75766	1178652
604	75887	1178448
605	76006	1178228
606	76128	1178043
607	76247	1177828
608	76367	1177619
609	76490	1177453
610	76612	1177279
611	76734	1177099
612	76858	1176944
613	76979	1176753
614	77100	1176563
615	77231	1176531
616	77380	1176762
617	77517	1176817
618	77648	1176768
619	77770	1176592
620	77890	1176378
621	78009	1176166
622	78130	1175975
623	78253	1175803
624	78374	1175622
625	78496	1175440
626	78616	1175240
627	78739	1175070
628	78860	1174886
629	78984	1174735
630	79104	1174527
631	79232	1174444
632	79385	1174728
633	79530	1174895
634	79657	1174791
635	79778	1174607
636	79899	1174417
637	80021	1174235
638	80143	1174056
639	80267	1173911
640	80388	1173723
641	80509	1173535
642	80631	1173354
643	80754	1173202
644	80875	1173012
645	80996	1172826
646	81121	1172690
647	81252	1172649
648	81405	1172914
649	81545	1172993
650	81668	1172845
651	81790	1172663
652	81910	1172457
653	82033	1172295
654	82152	1172087
655	82273	1171890
656	82394	1171706
657	82515	1171524
658	82637	1171339
659	82758	1171158
660	82879	1170973
661	82999	1170765
662	83121	1170595
663	83252	1170546
664	83409	1170872
665	83544	1170872
666	83667	1170720
667	83789	1170549
668	83910	1170362
669	84030	1170152
670	84152	1169978
671	84276	1169839
672	84397	1169658
673	84518	1169469
674	84638	1169266
675	84757	1169048
676	84878	1168870
677	84999	1168677
678	85120	1168495
679	85252	1168458
680	85405	1168712
681	85541	1168731
682	85668	1168629
683	85788	1168426
684	85907	1168212
685	86029	1168039
686	86149	1167839
687	86270	1167655
688	86390	1167465
689	86512	1167285
690	86633	1167104
691	86754	1166921
692	86874	1166727
693	86995	1166545
694	87118	1166383
695	87248	1166315
696	87407	1166649
697	87544	1166679
698	87669	1166541
699	87789	1166350
700	87910	1166157
701	88031	1165975
702	88151	1165786
703	88273	1165611
704	88397	1165462
705	88518	1165288
706	88641	1165125
707	88762	1164941
708	88884	1164778
709	89004	1164577
710	89125	1164401
